Field,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Plot11,Plot12,Plot13,Plot14,Plot15,Plot16,Plot17,Plot18,Plot20,Plot21,Plot19
* Soil pH,5.01,4.95,5.67,5.51,4.92,5.37,5.3,5.44,5.73,5.5,5.9,5.85,5.84,5.89,5.52,5.23,5.76,5.75,5.38,5.5,5.23
Exch. Acidity me%,0.3,0.4,,,0.4,0.2,0.2,0.2,,,,,,,,0.2,,,0.2,,0.2
* Total Nitrogen %,0.2,0.22,0.23,0.22,0.15,0.18,0.15,0.14,0.14,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.13,0.12,0.16
* Total Org. Carbon % ,2.21,2.36,2.53,2.47,1.62,1.93,1.63,1.52,1.43,1.33,1.75,1.65,1.72,1.71,1.67,1.54,1.73,1.65,1.16,1.09,1.74
Phosphorus (Mehlich) ppm,10,10,5,10,5,10,10,10,20,5,15,10,20,10,40,10,25,10,40,25,15
Potassium me%,0.72,0.74,1.18,1.02,0.5,0.66,0.48,0.62,0.36,0.32,0.84,0.6,0.78,1.02,0.82,0.6,0.88,0.76,0.38,0.54,0.54
Calcium me%,1.4,1,2.4,2.2,1,2,2,2,2.4,2,2,2,2.6,3,2,1.2,2.2,2.2,2,2,1.4
Magnesium me%,2.41,2.28,3.33,3.1,2.16,2.63,1.93,2.27,2.7,1.96,2.77,1.22,2.4,2.9,2.38,1.72,2.67,2.65,2.07,2.5,2.04
Manganese me%,1.03,0.91,1.39,0.88,1.22,0.78,1.14,1.04,1.02,0.84,0.89,0.96,0.78,0.92,0.72,0.96,0.71,0.7,0.89,0.7,1.22
Copper ppm,1.23,1.98,1.92,1.9,2.05,2.23,2.36,2.17,2.23,2.17,2.23,2.23,2.3,2.36,2.42,2.3,2.36,2.42,2.85,2.73,2.67
Iron ppm,14.6,16.3,14.2,15.4,18,17.9,17.4,17.6,18,17.8,19.3,18.8,17.2,17.6,19.4,19.4,20.4,19.3,23.5,20,20
Zinc ppm,11.2,9.46,11.8,12.3,12.7,14.1,11.9,12.2,14,10.9,15.4,8.36,12.6,10.9,10.7,5.87,8.49,7.23,10,10.9,10.7
Sodium me%,0.16,0.14,0.12,0.1,0.08,0.1,0.08,0.1,0.14,0.12,0.12,0.14,0.14,0.16,0.12,0.14,0.12,0.14,0.18,0.14,0.14
